GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-01-27 03:00:00,11.58,1,5,1,80,54.0,127.9925,127.345,26798.625,124.875
2023-01-27 07:00:00,25.75,1,5,2,80,60.0,134.3325,134.295,26858.0,132.89375
2023-01-27 11:00:00,20.0,1,5,3,80,63.0,181.635,182.54500000000002,38109.625,180.9375
2023-01-27 15:00:00,31.95,1,5,4,80,18.0,168.0,169.61,36913.25,160.4875
2023-01-27 19:00:00,29.49,1,5,5,80,61.0,182.6625,182.4525,40156.625,174.8
2023-01-27 23:00:00,21.0,1,5,6,80,83.0,155.0,151.835,35855.625,141.0
2023-01-28 03:00:00,15.0,1,6,1,80,72.0,130.755,125.5675,26907.125,129.7
2023-01-28 07:00:00,22.07,1,6,2,80,64.0,120.5,119.32,24965.625,136.9625
2023-01-28 11:00:00,21.5,1,6,3,80,79.0,147.8,145.56,33091.0,175.79625
2023-01-28 15:00:00,26.63,1,6,4,80,52.0,140.525,137.995,34789.625,175.18875
2023-01-28 19:00:00,21.7,1,6,5,80,58.0,167.05,164.6425,37577.5,183.01375
2023-01-28 23:00:00,15.0,1,6,6,80,60.0,140.6725,140.7275,32718.875,149.325
2023-01-29 03:00:00,10.39,1,7,1,80,70.0,150.775,162.66500000000002,25016.875,128.75625
2023-01-29 07:00:00,15.0,1,7,2,80,70.0,129.125,133.1875,22377.75,123.575
2023-01-29 11:00:00,21.6,1,7,3,80,66.0,138.7825,145.7775,27874.25,147.60375
2023-01-29 15:00:00,22.82,1,7,4,80,63.0,131.2975,130.23,30454.625,140.0625
2023-01-29 19:00:00,20.0,1,7,5,80,60.0,144.325,146.195,34722.125,164.91875
2023-01-29 23:00:00,15.0,1,7,6,80,58.0,110.8175,115.0,29241.375,147.45
2023-01-30 03:00:00,30.0,1,1,1,80,69.0,58.7,78.28,21243.375,146.79375
2023-01-30 07:00:00,25.75,1,1,2,80,44.0,69.725,84.76249999999999,21842.125,132.31875
2023-01-30 11:00:00,16.31,1,1,3,80,60.0,137.5475,143.9575,34566.625,141.225
2023-01-30 15:00:00,31.95,1,1,4,80,65.0,137.10750000000002,138.3975,33901.125,116.8875
